 ,Area,Mean,Min,Max
1,800,85.101,85,151
2,586,98.805,85,254
3,786,101.967,85,255
4,1077,95.526,85,239
5,2512,93.245,82,255
6,658,96.216,85,249
7,860,92.757,85,253
8,1057,91.334,85,255
9,1567,128.378,85,255
10,1402,95.859,85,255
11,760,87.164,85,178
12,3330,110.451,82,255
13,1325,64.602,4,254
14,1173,10.963,4,215
15,1690,19.899,4,255
16,339,52.445,4,254
17,820,18.006,4,254
18,1311,40.765,4,254
19,800,41.447,4,255
20,932,149.579,80,255
21,930,119.424,84,243
22,1284,127.983,77,254
